canonical_target,total_count,n_compounds,compounds
BRF1,1,1,caffeine
BRIP1,1,1,caffeine
BRME1,1,1,caffeine
BRPF3,1,1,caffeine
BRWD1,1,1,caffeine
BSG,1,1,caffeine
BTAF1,1,1,caffeine
BUD13,1,1,caffeine
C15ORF39,1,1,caffeine
C17ORF100,1,1,caffeine
C1ORF174,1,1,caffeine
C1ORF226,1,1,caffeine
C1QBP,1,1,caffeine
C8ORF33,1,1,caffeine
C9ORF78,1,1,caffeine
CABLES1,1,1,caffeine
CACNA2D2,1,1,caffeine
CALR,1,1,caffeine
CAMK2D,1,1,caffeine
CAMK2G,1,1,caffeine
CAMK2N1,1,1,caffeine
CAMKII,1,1,Ginsenoside rb1
CAMKK2,1,1,caffeine
