pathway_id,total_count,n_compounds,compounds
1185777,1,1,Ethanolamine
1185780,1,1,Ethanolamine
1185781,1,1,Ethanolamine
1185784,1,1,Ethanolamine
1185785,1,1,Ethanolamine
1185788,1,1,Ethanolamine
1185789,1,1,Ethanolamine
1185792,1,1,Ethanolamine
1185793,1,1,Ethanolamine
1185796,1,1,Ethanolamine
1185797,1,1,Ethanolamine
1185800,1,1,Ethanolamine
1185801,1,1,Ethanolamine
1185804,1,1,Ethanolamine
1185805,1,1,Ethanolamine
1185808,1,1,Ethanolamine
1185809,1,1,Ethanolamine
1185812,1,1,Ethanolamine
1185813,1,1,Ethanolamine
1185816,1,1,Ethanolamine
1185817,1,1,Ethanolamine
1185820,1,1,Ethanolamine
1185821,1,1,Ethanolamine
1185824,1,1,Ethanolamine
1185825,1,1,Ethanolamine
1185828,1,1,Ethanolamine
1185829,1,1,Ethanolamine
1185832,1,1,Ethanolamine
1185833,1,1,Ethanolamine
1185836,1,1,Ethanolamine
1185837,1,1,Ethanolamine
1185840,1,1,Ethanolamine
1185841,1,1,Ethanolamine
1185844,1,1,Ethanolamine
1185848,1,1,Ethanolamine
1185849,1,1,Ethanolamine
1185852,1,1,Ethanolamine
1185853,1,1,Ethanolamine
1185856,1,1,Ethanolamine
1185857,1,1,Ethanolamine
1185860,1,1,Ethanolamine
1185861,1,1,Ethanolamine
1185864,1,1,Ethanolamine
1185865,1,1,Ethanolamine
1185868,1,1,Ethanolamine
1185869,1,1,Ethanolamine
1185872,1,1,Ethanolamine
1185873,1,1,Ethanolamine
1185876,1,1,Ethanolamine
1185877,1,1,Ethanolamine
1185880,1,1,Ethanolamine
1185881,1,1,Ethanolamine
1185884,1,1,Ethanolamine
1185885,1,1,Ethanolamine
1185888,1,1,Ethanolamine
1185889,1,1,Ethanolamine
1185892,1,1,Ethanolamine
1185893,1,1,Ethanolamine
1185896,1,1,Ethanolamine
1185897,1,1,Ethanolamine
1185900,1,1,Ethanolamine
1185901,1,1,Ethanolamine
1185904,1,1,Ethanolamine
1185905,1,1,Ethanolamine
1185908,1,1,Ethanolamine
1185909,1,1,Ethanolamine
1185912,1,1,Ethanolamine
1185913,1,1,Ethanolamine
1185916,1,1,Ethanolamine
1185917,1,1,Ethanolamine
1185920,1,1,Ethanolamine
1185921,1,1,Ethanolamine
1185924,1,1,Ethanolamine
1185925,1,1,Ethanolamine
1185928,1,1,Ethanolamine
1185929,1,1,Ethanolamine
1185932,1,1,Ethanolamine
1185933,1,1,Ethanolamine
1185936,1,1,Ethanolamine
1185937,1,1,Ethanolamine
