compound,geneid,symbol,description,uniprot_accession,uniprot_accessions,cid
caffeine,80164,PRR36,proline rich 36,Q9H6K5,Q9H6K5,2519
caffeine,23215,PRRC2C,proline rich coiled-coil 2C,Q9Y520,Q9Y520;E7EPN9,2519
caffeine,5683,PSMA2,proteasome 20S subunit alpha 2,P25787,P25787;A0A024RA52,2519
caffeine,4350,MPG,N-methylpurine DNA glycosylase,P29372,P29372;Q1W6H1,2519
caffeine,23164,MPRIP,myosin phosphatase Rho interacting protein,Q6WCQ1,Q6WCQ1;A0A494BZV2;Q8N236,2519
caffeine,51149,MRNIP,MRN complex interacting protein,Q6NTE8,Q6NTE8,2519
caffeine,5687,PSMA6,proteasome 20S subunit alpha 6,P60900,P60900;A0A140VK44,2519
caffeine,5708,PSMD2,"proteasome 26S subunit ubiquitin receptor, non-ATPase 2",Q13200,Q13200,2519
caffeine,8624,PSMG1,proteasome assembly chaperone 1,O95456,O95456,2519
caffeine,9685,CLINT1,clathrin interactor 1,Q14677,Q14677;A0A0S2Z4Y4;A0A0S2Z5H3,2519
caffeine,57591,MRTFA,myocardin related transcription factor A,Q969V6,Q969V6;A0A494BZX7;A0A499FIJ6;A4FUJ8;B0QY83;W0Z7M9,2519
caffeine,339287,MSL1,MSL complex subunit 1,Q68DK7,Q68DK7;B3KWR7;J3KSZ8;J3QQY0,2519
caffeine,9112,MTA1,metastasis associated 1,Q13330,Q13330;E7ESY4;Q9BRL8,2519
caffeine,81490,PTDSS2,phosphatidylserine synthase 2,Q9BVG9,Q9BVG9,2519
caffeine,5763,PTMS,parathymosin,P20962,P20962;A0A158RFU3;F5GXR3,2519
caffeine,5782,PTPN12,protein tyrosine phosphatase non-receptor type 12,Q05209,Q05209;B4E105,2519
caffeine,9575,CLOCK,clock circadian regulator,O15516,O15516;Q3ZCT4;Q53EU0,2519
caffeine,23277,CLUH,CLUH binding protein of NUMT mRNA,O75153,O75153;A0A494C0R8,2519
caffeine,54918,CMTM6,CKLF like MARVEL transmembrane domain containing 6,Q9NX76,Q9NX76,2519
caffeine,23255,MTCL1,microtubule crosslinking factor 1,Q9Y4B5,Q9Y4B5;A0A8Q3SIW6;A0A8Q3WKN6,2519
caffeine,113115,MTFR2,mitochondrial fission regulator 2,Q6P444,Q6P444,2519
caffeine,54893,MTMR10,myotubularin related protein 10,Q9NXD2,Q9NXD2;X5D963,2519
caffeine,25930,PTPN23,protein tyrosine phosphatase non-receptor type 23,Q9H3S7,Q9H3S7;B4DST5,2519
caffeine,5786,PTPRA,protein tyrosine phosphatase receptor type A,P18433,P18433;A0A1S5UZ22;B7Z2A4,2519
caffeine,10076,PTPRU,protein tyrosine phosphatase receptor type U,Q92729,Q92729,2519
caffeine,23369,PUM2,pumilio RNA binding family member 2,Q8TB72,Q8TB72;B7ZL34,2519
caffeine,170394,PWWP2B,PWWP domain containing 2B,Q6NUJ5,Q6NUJ5,2519
caffeine,25782,RAB3GAP2,RAB3 GTPase activating non-catalytic protein subunit 2,Q9H2M9,Q9H2M9,2519
caffeine,11541,ADORA2B,adenosine A2b receptor,Q60614,Q60614,2519
caffeine,4329,ALDH6A1,aldehyde dehydrogenase 6 family member A1,Q02252,Q02252;A0A024R6G4,2519
caffeine,494489,ATP2A1L,"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1, like",A0A2R8RK22,A0A2R8RK22;A0JMP4,2519
caffeine,84305,PYM1,PYM1 exon junction complex associated factor,Q9BRP8,Q9BRP8,2519
